titre,annee,realisateur,note_presse,note_spectateurs,url
Le Seigneur des anneaux : le retour du roi,2003,Peter Jackson,3.8,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=39187.html
Les Evadés,1995,Frank Darabont,3.2,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=11736.html
Le Parrain,1972,Francis Ford Coppola,4.6,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=1628.html
12 hommes en colère,1957,Sidney Lumet,5.0,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=4063.html
Le Seigneur des anneaux : la communauté de l'anneau,2001,Peter Jackson,3.7,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=27070.html
Pulp Fiction,1994,Quentin Tarantino,4.4,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=10126.html
Gladiator,2000,Ridley Scott,4.3,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=24944.html
"Le Bon, la brute et le truand",1968,Sergio Leone,4.1,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=19395.html
Fight Club,1999,David Fincher,2.7,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=21189.html
"Le Parrain, 2e partie",1975,Francis Ford Coppola,4.7,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=28201.html
Les Affranchis,1990,Martin Scorsese,5.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=5969.html
Parasite,2019,Bong Joon Ho,4.8,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=255238.html
Dune : Deuxième Partie,2024,Denis Villeneuve,4.2,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=278742.html
Usual Suspects,1995,Bryan Singer,4.6,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=12837.html
Le Tombeau des lucioles,1996,Isao Takahata,4.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=10251.html
Les Temps modernes,1936,Charles Chaplin,4.6,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=1832.html
Le Voyage de Chihiro,2002,Hayao Miyazaki,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=37485.html
Apocalypse Now Final Cut,1979,Francis Ford Coppola,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=27061.html
Spider-Man : Across The Spider-Verse,2023,"Joaquim Dos Santos, Kemp Powers, Justin Thompson",4.1,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=269975.html
Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles),1977,George Lucas,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=25801.html
Tu ne tueras point,2016,Mel Gibson,3.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=208104.html
