id,libelle,cours,variation,volume,isin,scraped_at
25,ALTEN,79.8,19.46,158678,FR0000071946,2026-07-29 09:26:01
24,SOPRA STERIA,196.8,14.29,131638,FR0000050809,2026-07-29 09:26:00
23,KERING,282.0,12.57,376211,FR0000121485,2026-07-29 09:25:59
22,BUREAU VERITAS,29.41,7.65,925556,FR0006174348,2026-07-29 09:25:57
21,NEXANS,131.5,5.96,97148,FR0000044448,2026-07-29 09:25:56
20,ATOS GROUP,33.76,5.76,81085,FR001400X2S4,2026-07-29 09:25:55
19,CAPGEMINI,104.55,2.8,276621,FR0000125338,2026-07-29 09:25:53
18,GTT (GAZTRANSPORT ET TEC.),190.7,2.53,29149,FR0011726835,2026-07-29 09:25:52
17,STELLANTIS,5.18,2.15,2406011,NL00150001Q9,2026-07-29 09:25:52
16,JCDECAUX,22.5,1.9,58298,FR0000077919,2026-07-29 09:25:51
15,ERAMET,42.92,1.75,11251,FR0000131757,2026-07-29 09:25:50
14,SEB,58.55,1.74,25609,FR0000121709,2026-07-29 09:25:49
13,RENAULT,27.6,1.66,244419,FR0000131906,2026-07-29 09:25:48
12,DBV TECHNOLOGIES,2.41,1.6,196999,FR0010417345,2026-07-29 09:25:46
11,IPSOS,42.54,1.53,33879,FR0000073298,2026-07-29 09:25:45
10,MERCIALYS,12.16,1.5,62703,FR0010241638,2026-07-29 09:25:44
9,VALNEVA,2.224,1.46,125611,FR0004056851,2026-07-29 09:25:43
8,TOTALENERGIES,74.82,1.41,611081,FR0000120271,2026-07-29 09:25:42
7,WORLDLINE,10.6,1.38,140432,FR00140182K6,2026-07-29 09:25:40
6,EURAZEO,46.7,1.35,15244,FR0000121121,2026-07-29 09:25:39
5,CLARIANE,4.016,1.26,57412,FR0010386334,2026-07-29 09:25:38
4,VIVENDI,2.008,1.16,236185,FR0000127771,2026-07-29 09:25:36
3,ABIVAX,109.8,0.92,9072,FR0012333284,2026-07-29 09:25:35
2,EDENRED,28.4,0.78,86136,FR0010908533,2026-07-29 09:25:34
1,MAUREL & PROM,7.985,0.76,58003,FR0000051070,2026-07-29 09:25:33
